"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626039","D-13-13 23BDD","25.39","WITHDRAWAL","GROUNDWATER","32","17","14.3","110","59","10.37","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626040","D-13-13 22DCB","121.52","WITHDRAWAL","GROUNDWATER","32","16","59.24","111","0","9.139","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626042","D-13-13 22DAC","671.47","WITHDRAWAL","GROUNDWATER","32","16","59.12","110","59","48.689","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626046","D-13-13 35BDB","843.81","WITHDRAWAL","GROUNDWATER","32","15","39.269","110","59","23.544","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626047","D-13-13 26BAD","555.35","WITHDRAWAL","GROUNDWATER","32","16","38.199","110","59","10.622","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","FLOWING WELLS IRRIGATION DIST","56-000084.0000","LARGE MUNICIPAL PROVIDER","626048","D-13-13 26CDD","359.1","WITHDRAWAL","GROUNDWATER","32","15","59.389","110","59","10.014","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","EMMETT S. JOBE","58-114264.0001","IRRIGATION USE","626051","D-02-07 16DCC","211.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1994","RAYMOND L. UNDERDOWN","58-111882.0000","IRRIGATION USE","626063","D-19-13 32ABC","15.54","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","USAF PLANT 44 C/O RAYTHEON","58-112522.0000","TYPE 2 NON-IRRIGATION GFR","626126","D-15-14 29BBB","264","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","TUCSON COUNTRY CLUB","58-106007.0002","TYPE 2 NON-IRRIGATION GFR","626131","D-13-15 31ABD","52.7","WITHDRAWAL","GROUNDWATER","32","15","46.72","110","50","50.57","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","TUCSON COUNTRY CLUB","58-106007.0002","TYPE 2 NON-IRRIGATION GFR","626132","D-13-14 36AAD","152.9","WITHDRAWAL","GROUNDWATER","32","15","44.5","110","51","31.6","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","TUCSON COUNTRY CLUB","58-106007.0002","TYPE 2 NON-IRRIGATION GFR","626134","D-13-15 31ABC","344.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","TUCSON COUNTRY CLUB","58-106007.0002","TYPE 2 NON-IRRIGATION GFR","626135","D-13-14 25DCD","118.2","WITHDRAWAL","GROUNDWATER","32","15","56.6","110","51","48.2","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","TUCSON COUNTRY CLUB","58-106007.0002","TYPE 2 NON-IRRIGATION GFR","626136","D-13-15 31CAA","181.2","WITHDRAWAL","GROUNDWATER","32","15","26.6","110","51","5.6","58"
"PHOENIX AMA","PHOENIX AMA","RAINBOW VALLEY","1994","SUNCHASE ESTRELLA LP","58-106640.0029","TYPE 1 GFR","626158","C-02-02 13BCC","957","WITHDRAWAL","GROUNDWATER","33","14","53","112","25","30","58"
"PHOENIX AMA","PHOENIX AMA","LAKE PLEASANT","1994","PROPERTY RESERVE INC","58-101778.0004","IRRIGATION USE","626160","A-05-01 20BDA","229.1","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","LAKE PLEASANT","1994","PROPERTY RESERVE INC","58-101778.0004","IRRIGATION USE","626161","A-05-01 20CDD","22.79","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","PROPERTY RESERVE INC","58-114810.0003","IRRIGATION USE","626162","D-02-05 21ACA","1345.03","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","VALLEY INDUSTRIES","59-515482.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","626166","B-03-01 08CBB","11.23","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","BELLAIR GOLF COURSE INC","58-110098.0001","TYPE 2 NON-IRRIGATION GFR","626183","A-04-02 33DAD","9.87","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","BELLAIR GOLF COURSE INC","58-110098.0001","TYPE 2 NON-IRRIGATION GFR","626184","A-04-02 33CAA","10.26","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","BELLAIR GOLF COURSE INC","58-110098.0001","TYPE 2 NON-IRRIGATION GFR","626185","A-04-02 33DBA","397.75","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","HOFFMAN CORNELIUS JOHN","58-111016.0000","TYPE 2 NON-IRRIGATION GFR","626210","C-01-02 07BBB","25.47","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","","56-000066.0000","SMALL MUNICIPAL PROVIDER","626264","D-15-14 09ACC","44.73","WITHDRAWAL","GROUNDWATER","32","8","34","110","54","56","56"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","PENINSULA DITCH CO","57-002514.0000","IRRIGATION DISTRICT (SW & GW)","626266","A-01-01 36DDA","2061.74","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","PENINSULA DITCH CO","57-002514.0000","IRRIGATION DISTRICT (SW & GW)","626268","A-01-02 30DDC","650.99","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","PENINSULA DITCH CO","57-002514.0000","IRRIGATION DISTRICT (SW & GW)","626270","A-01-02 32BAA","852.77","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","CASTLE ROCK HOMEOWNERS ASSN","58-109009.0001","TYPE 1 GFR","626292","D-13-15 34DCD","20.22","WITHDRAWAL","GROUNDWATER","32","15","5","110","47","39","58"
